state,district,forecast_period,forecast_severity_score,forecast_risk_category,forecast_enrol,forecast_demo,forecast_bio,current_trend
Orissa,Sambalpur,2_weeks_ahead,9.0442949193011,Stable,0,3,0,stable
PUDUCHERRY,KARAIKAL,2_weeks_ahead,37.578474899938406,Stable,19,247,326,stable
PUDUCHERRY,MAHE,2_weeks_ahead,28.028228228964466,Stable,2,30,41,accelerating_up
PUDUCHERRY,PONDICHERRY,2_weeks_ahead,44.94649859124208,Stable,78,1001,935,accelerating_down
PUNJAB,AMRITSAR,2_weeks_ahead,62.23852747573355,Watchlist,201,2127,2432,accelerating_down
PUNJAB,BARNALA,2_weeks_ahead,41.48430920556797,Stable,36,365,667,stable
PUNJAB,BATHINDA,2_weeks_ahead,51.0618719023018,Stable,102,1103,1745,accelerating_down
PUNJAB,FARIDKOT,2_weeks_ahead,42.42469699302935,Stable,39,422,719,stable
PUNJAB,FATEHGARH SAHIB,2_weeks_ahead,42.3021772972266,Stable,40,356,655,stable
PUNJAB,FAZILKA,2_weeks_ahead,45.24555898127768,Stable,80,817,1094,declining
PUNJAB,FIROZEPUR,2_weeks_ahead,40.930368869338665,Stable,49,606,857,declining
PUNJAB,GURDASPUR,2_weeks_ahead,51.43745708091377,Stable,136,1206,1449,accelerating_down
PUNJAB,HOSHIARPUR,2_weeks_ahead,50.57353900399165,Stable,127,1021,1546,accelerating_down
PUNJAB,JALANDHAR,2_weeks_ahead,56.81619172174668,Watchlist,124,1643,2215,accelerating_down
PUNJAB,KAPURTHALA,2_weeks_ahead,42.828491687656204,Stable,83,623,1006,accelerating_down
PUNJAB,LUDHIANA,2_weeks_ahead,70.78871199490094,Emerging_Risk,299,3569,2844,accelerating_down
PUNJAB,MALERKOTLA,2_weeks_ahead,40.31642026180613,Stable,36,373,368,stable
PUNJAB,MANSA,2_weeks_ahead,43.502552804881304,Stable,43,373,777,stable
PUNJAB,MOGA,2_weeks_ahead,42.21799591840939,Stable,59,665,958,accelerating_down
PUNJAB,PATHANKOT,2_weeks_ahead,40.380616224129575,Stable,78,547,544,declining
PUNJAB,PATIALA,2_weeks_ahead,56.56129241167631,Watchlist,141,1526,1841,accelerating_down
PUNJAB,RUPNAGAR,2_weeks_ahead,43.58918078085181,Stable,48,416,782,stable
PUNJAB,S.A.S NAGAR,2_weeks_ahead,50.630581273519745,Stable,120,1633,854,accelerating_down
PUNJAB,SANGRUR,2_weeks_ahead,46.87966892652891,Stable,84,860,1384,declining
PUNJAB,SHAHID BHAGAT SINGH NAGAR,2_weeks_ahead,39.202595931446766,Stable,41,431,880,accelerating_down
PUNJAB,SRI MUKTSAR SAHIB,2_weeks_ahead,42.935579464863494,Stable,56,729,1047,accelerating_down
